batch_size,epoch,rank, time
512, 0, 0, 89.28
512, 0, 1, 89.519
512, 0, 2, 89.264
512, 0, 3, 88.955
512, 1, 0, 80.586
512, 1, 1, 81.095
512, 1, 2, 81.052
512, 1, 3, 81.027
512, 2, 0, 80.467
512, 2, 1, 81.002
512, 2, 2, 81.052
512, 2, 3, 81.066
512, 3, 0, 81.126
512, 3, 1, 81.65
512, 3, 2, 81.647
512, 3, 3, 81.642
512, 4, 0, 78.666
512, 4, 1, 79.245
512, 4, 2, 79.228
512, 4, 3, 79.191
512, 5, 0, 80.422
512, 5, 1, 80.94
512, 5, 2, 80.933
512, 5, 3, 80.981
512, 6, 0, 83.067
512, 6, 1, 83.656
512, 6, 2, 83.661
512, 6, 3, 83.615
512, 7, 0, 80.726
512, 7, 1, 81.28
512, 7, 2, 81.291
512, 7, 3, 81.314
512, 8, 0, 81.207
512, 8, 1, 81.766
512, 8, 2, 81.772
512, 8, 3, 81.78
512, 9, 0, 79.6
512, 9, 1, 80.174
512, 9, 2, 80.139
512, 9, 3, 79.938
512, 10, 0, 80.08
512, 10, 1, 80.584
512, 10, 2, 80.619
512, 10, 3, 80.823
512, 11, 0, 80.589
512, 11, 1, 81.167
512, 11, 2, 81.157
512, 11, 3, 81.126
512, 12, 0, 83.388
512, 12, 1, 83.984
512, 12, 2, 83.977
512, 12, 3, 83.968
512, 13, 0, 80.661
512, 13, 1, 81.218
512, 13, 2, 81.233
512, 13, 3, 81.27
512, 14, 0, 81.829
512, 14, 1, 82.403
512, 14, 2, 82.389
512, 14, 3, 82.382
512, 15, 0, 81.705
512, 15, 1, 82.268
512, 15, 2, 82.253
512, 15, 3, 82.259
512, 16, 0, 80.896
512, 16, 1, 81.452
512, 16, 2, 81.453
512, 16, 3, 81.483
512, 17, 0, 79.308
512, 17, 1, 79.884
512, 17, 2, 79.885
512, 17, 3, 79.863
512, 18, 0, 80.075
512, 18, 1, 80.65
512, 18, 2, 80.646
512, 18, 3, 80.638
512, 19, 0, 80.826
512, 19, 1, 81.379
512, 19, 2, 81.431
512, 19, 3, 81.499
